600036.SH,601318.SH,000651.SZ,002594.SZ,601888.SH
47.0,37.26,32.32,256.97,216.03
45.82,37.23,32.16,254.76,216.15
46.28,37.33,32.57,254.62,218.8
45.58,36.67,32.63,262.12,218.21
44.66,35.95,32.35,262.42,218.15
45.64,36.37,32.78,252.18,223.33
45.88,36.5,32.94,259.19,221.04
45.26,35.95,32.43,260.8,215.09
44.93,35.72,32.3,261.6,213.2
45.77,36.5,32.82,266.5,218.0
46.9,37.09,33.26,270.51,221.7
46.43,36.33,33.01,271.46,219.7
46.89,36.91,33.4,266.4,218.84
46.7,36.14,33.37,269.8,213.74
46.17,35.79,33.28,269.88,215.77
47.6,36.75,33.88,274.7,213.23
47.15,35.45,33.01,274.29,214.5
46.7,35.32,33.12,273.74,214.4
47.44,35.85,32.94,267.6,210.0
47.28,36.1,32.88,263.36,204.92
44.62,34.39,32.23,262.08,199.4
44.83,35.0,32.42,266.66,204.0
44.95,34.96,32.17,259.52,197.48
44.78,34.86,32.47,248.3,194.97
41.41,31.96,31.5,245.11,183.86
42.75,33.02,31.76,245.05,178.66
41.8,32.22,31.22,249.39,179.1
41.77,32.22,31.2,251.5,181.16
41.97,32.45,31.29,250.49,183.25
41.21,31.87,31.1,254.2,184.52
42.16,32.07,31.76,254.68,190.8
42.56,32.31,31.75,257.0,192.99
42.3,33.38,31.73,261.08,194.2
42.49,33.28,31.99,267.0,191.0
41.6,33.14,31.71,263.79,187.5
40.33,31.24,31.11,268.8,195.88
38.46,29.19,30.12,260.26,188.99
38.37,29.18,30.26,269.63,189.11
38.69,29.15,30.14,276.41,191.35
38.79,29.16,30.27,278.88,191.3
38.31,29.08,30.16,280.2,197.09
36.93,28.05,29.29,267.98,182.61
37.4,28.42,29.55,267.56,182.3
37.46,28.19,29.37,261.82,176.4
36.15,26.82,28.67,246.67,160.36
36.73,27.18,30.19,239.89,167.45
37.66,27.94,30.41,255.0,169.0
37.67,27.93,30.02,257.87,173.01
37.72,28.19,29.8,257.91,171.39
37.7,28.02,29.98,255.57,167.0
39.65,29.58,30.6,266.3,175.57
40.01,30.07,30.66,263.51,179.4
41.27,30.26,31.13,267.5,179.6
41.75,30.8,32.34,273.67,189.0
42.1,31.02,32.27,260.66,186.93
41.94,31.08,32.39,264.54,185.46
41.36,29.89,31.69,258.18,180.15
41.92,30.95,32.28,262.34,181.03
41.2,31.4,31.94,255.01,185.63
41.43,31.8,32.2,251.2,187.8
41.58,33.65,32.43,252.01,198.25
41.32,33.15,32.55,264.57,197.25
41.89,33.67,33.0,265.62,202.48
42.44,33.9,33.45,273.96,202.45
42.49,33.95,32.86,272.95,194.51
43.02,34.36,33.08,266.4,185.41
42.48,34.17,33.12,268.55,187.1
43.15,34.41,34.35,270.0,185.54
43.24,34.54,34.2,274.21,194.23
43.93,35.09,34.46,270.35,188.45
43.93,34.95,34.59,265.98,188.51
45.09,36.01,35.1,269.5,191.35
44.65,34.86,34.92,278.33,191.55
45.06,35.35,35.15,284.8,192.47
44.69,34.5,34.67,279.7,191.09
43.84,33.3,33.18,278.26,186.0
43.6,33.38,32.97,282.7,183.95
43.9,33.62,33.16,272.94,182.72
43.8,34.23,33.36,268.76,180.1
43.7,34.32,33.02,282.0,180.31
43.65,34.5,32.85,286.7,186.8
43.84,35.05,31.93,287.98,195.5
42.89,33.79,30.55,310.85,190.4
43.07,33.28,30.33,313.55,192.25
43.12,33.7,30.15,315.73,192.41
43.1,33.69,30.36,309.58,192.82
41.61,32.84,30.04,309.5,189.8
40.72,33.1,30.23,321.61,192.98
41.15,33.62,30.49,323.09,193.13
40.97,33.85,30.46,319.39,188.0
40.81,33.72,30.43,326.04,188.62
41.29,34.24,30.98,327.93,193.16
40.99,33.91,30.86,318.92,190.18
41.14,33.73,30.89,315.21,194.75
41.61,34.37,30.89,311.93,195.66
41.46,34.36,30.83,315.02,201.19
40.4,33.15,30.42,308.35,196.0
40.96,33.6,30.61,319.72,197.46
41.18,33.91,30.55,321.35,189.59
41.54,34.3,30.73,324.49,198.9
41.08,33.66,32.16,326.8,200.45
40.83,33.06,31.82,321.99,200.05
41.17,33.91,31.86,326.6,206.26
41.84,34.52,33.01,330.54,211.7
42.12,35.07,33.26,320.36,209.9
42.72,35.78,33.31,325.43,219.98
42.79,36.05,33.41,325.8,214.83
43.2,36.33,34.13,325.0,219.0
42.92,35.85,34.23,322.95,219.61
43.05,35.59,33.94,329.62,214.62
42.74,35.46,33.95,324.5,208.95
43.4,35.85,34.11,331.7,214.95
43.4,35.71,34.08,331.1,209.0
43.45,35.63,34.3,337.1,206.58
42.71,34.87,33.7,338.19,204.36
43.6,36.48,34.18,323.0,209.5
45.08,37.9,34.97,309.88,205.6
45.51,39.3,34.93,309.0,203.54
45.38,39.44,33.99,324.3,207.35
45.82,39.81,33.4,338.0,211.97
45.6,39.75,32.89,349.38,209.41
45.85,39.8,32.81,336.1,209.49
46.61,40.98,33.17,333.89,220.91
46.46,41.05,33.64,336.16,226.12
46.31,41.38,33.45,329.2,225.11
46.69,42.2,33.72,333.49,232.93
46.79,41.01,33.27,331.61,219.05
46.9,41.28,33.45,352.9,222.88
46.8,41.25,33.25,349.69,214.4
46.76,40.2,33.9,351.05,201.12
46.25,40.14,32.25,353.5,199.5
45.4,39.31,32.12,339.88,192.3
46.13,40.33,33.18,341.0,197.43
45.36,39.7,32.96,342.18,197.0
47.03,39.85,32.65,338.0,190.39
46.5,39.96,32.0,336.0,182.0
47.65,40.48,32.35,335.0,181.98
45.22,39.24,31.64,343.59,181.01
44.14,38.57,31.32,348.8,178.31
44.94,40.12,31.55,348.8,187.75
44.62,40.29,31.31,322.41,186.9
44.59,39.53,31.81,327.41,191.56
44.15,39.35,31.92,314.89,184.8
44.26,38.97,31.7,318.23,180.97
44.0,38.92,31.52,301.02,175.39
44.17,39.69,31.73,299.98,175.92
44.2,39.69,32.17,295.91,176.7
44.15,39.07,31.84,298.12,172.0
43.53,39.12,31.53,288.88,164.95
43.15,38.43,31.74,286.64,163.05
43.23,38.78,31.77,287.2,165.65
43.14,38.9,31.79,281.0,164.4
43.89,39.49,32.38,295.2,166.77
44.31,39.96,33.23,287.7,175.75
43.29,38.03,32.72,284.51,167.8
43.63,38.5,33.0,281.42,170.35
43.82,38.6,33.36,282.5,174.92
43.36,36.89,33.32,267.12,174.32
43.96,37.15,33.53,270.08,173.0
44.0,36.61,33.25,254.09,171.95
44.73,37.21,33.3,252.7,176.65
44.47,36.98,33.55,233.33,165.95
44.35,36.47,33.37,232.73,160.0
44.06,37.91,33.96,242.08,163.69
45.02,39.26,34.22,248.8,179.74
44.56,39.93,31.21,243.0,181.99
43.66,39.62,30.31,231.98,181.58
43.91,38.04,30.46,235.01,183.99
43.59,38.41,30.0,231.81,180.02
44.85,38.83,30.71,227.5,173.49
46.46,42.5,31.97,235.4,176.98
46.22,41.28,31.18,234.04,175.16
45.91,41.1,31.73,241.78,182.26
46.44,42.1,31.55,244.86,178.63
47.0,43.39,32.0,239.1,180.88
48.3,46.83,32.38,236.2,182.24
48.19,45.76,32.49,241.29,181.58
47.82,45.75,31.96,237.0,172.0
48.47,45.7,32.46,238.16,171.72
47.62,45.9,31.78,233.0,156.11
49.24,47.18,32.21,243.98,164.48
48.48,46.86,33.08,240.0,164.95
49.54,47.39,33.19,241.9,164.1
48.96,47.1,33.02,235.96,174.26
48.45,46.8,32.3,229.8,164.37
48.7,46.23,32.07,237.02,167.2
47.21,45.01,31.28,231.0,156.1
47.85,45.05,31.64,230.4,159.5
47.63,45.18,31.52,235.31,162.85
48.25,45.77,32.07,247.08,166.62
47.9,45.76,32.36,247.17,169.11
47.8,45.53,32.45,244.8,170.15
47.04,44.81,32.16,245.38,172.95
47.93,46.17,32.26,234.5,176.45
45.5,44.51,32.07,234.9,175.5
44.29,42.58,31.75,229.43,170.0
42.65,39.45,31.2,212.8,160.0
45.81,42.15,33.03,219.0,171.0
47.14,44.45,33.8,229.85,186.6
46.91,44.7,33.5,229.1,186.77
46.92,44.39,33.34,223.59,187.83
47.47,45.48,33.93,216.19,189.5
48.88,46.76,34.89,223.61,188.28
50.1,48.7,35.83,233.8,201.45
50.92,49.73,36.1,245.21,198.27
50.76,49.47,36.58,248.6,202.5
51.39,50.24,36.83,251.78,208.25
50.76,49.8,36.77,249.6,202.5
51.4,49.81,37.17,247.84,210.12
51.46,50.02,37.2,244.86,203.99
52.89,50.83,38.24,252.0,210.89
53.07,51.22,37.91,237.45,210.8
54.16,51.76,38.83,241.89,215.55
54.5,52.06,39.04,242.96,221.35
53.65,51.46,38.64,245.41,220.53
53.84,51.07,39.22,240.6,224.2
53.28,50.22,39.14,238.31,222.84
53.9,51.2,39.76,231.98,227.5
55.59,52.76,39.9,230.19,225.43
54.18,51.71,38.74,240.12,224.0
53.04,51.62,38.58,245.18,212.6
53.0,51.71,38.49,236.97,210.38
51.98,51.35,38.22,244.4,210.81
49.97,49.21,37.83,226.8,206.56
50.79,50.77,37.4,241.27,203.7
51.83,51.0,39.16,249.49,207.35
51.2,50.9,38.89,240.31,206.63
53.13,51.85,38.85,251.4,207.3
53.55,51.82,39.1,250.4,200.66
53.4,51.37,40.0,251.07,193.88
51.45,49.7,39.45,252.97,188.62
51.23,49.01,39.21,266.08,190.71
50.94,48.58,38.55,266.49,190.43
51.1,48.02,38.25,253.14,200.49
52.3,49.34,39.1,255.31,207.03
52.5,49.76,39.52,256.0,212.0
52.86,49.85,39.96,239.09,201.21
53.08,49.23,40.27,246.3,207.11
52.94,49.05,40.14,246.5,207.78
51.3,48.15,38.61,250.02,210.11
52.07,49.05,39.05,253.26,214.2
51.0,48.35,37.58,271.0,214.06
50.41,48.71,37.03,268.12,219.41
50.41,48.5,36.83,267.13,217.5
50.81,47.62,36.82,269.0,215.98
50.87,49.63,37.8,270.85,222.72
49.98,49.33,37.59,267.03,220.0
49.82,49.86,35.6,270.0,217.9
50.22,50.22,35.71,279.99,210.35
50.18,50.01,35.93,279.22,212.01
50.84,50.63,35.86,276.21,215.0
50.28,50.69,35.25,270.5,212.5
50.54,50.77,35.5,278.98,217.28
51.2,51.2,36.04,286.2,225.05
50.7,51.0,35.9,293.35,223.29
50.85,51.15,36.2,293.4,228.0
51.15,52.42,36.67,298.4,229.2
51.22,53.49,36.6,301.42,229.68
51.31,53.13,36.87,299.5,228.38
50.34,52.04,36.51,300.79,215.46
50.39,51.84,36.63,294.8,213.0
49.15,51.82,35.4,301.75,211.99
48.99,51.25,34.98,306.9,204.06
48.88,50.89,35.1,308.8,201.82
48.87,49.99,35.18,305.32,202.89
48.22,49.49,34.56,304.7,205.45
48.66,49.82,34.63,304.46,203.3
48.72,50.1,35.13,297.66,211.32
49.4,51.42,35.38,298.0,211.8
49.75,51.74,35.73,303.2,220.99
49.62,51.75,35.9,308.48,220.5
49.71,51.69,35.72,311.0,223.56
49.96,52.33,35.91,296.82,225.3
49.51,51.41,35.75,295.4,224.1
50.05,51.84,36.33,296.85,230.44
50.36,52.5,36.32,293.51,234.0
50.6,52.93,36.09,294.94,229.88
50.61,52.4,35.43,306.78,223.56
51.15,52.82,36.12,311.99,228.8
49.13,50.63,34.67,310.26,227.11
49.69,51.06,35.6,320.69,227.62
50.4,51.3,36.01,315.0,229.42
49.93,51.56,36.36,314.0,230.78
49.7,51.75,36.42,325.0,233.66
50.05,51.7,36.28,303.01,228.3
50.01,52.25,36.36,313.88,222.88
50.12,54.12,36.97,302.0,241.61
49.57,53.97,36.65,311.31,268.46
51.3,54.22,36.5,307.98,264.48
51.65,54.52,36.77,321.74,258.0
52.17,55.3,38.98,319.01,265.0
53.21,54.59,39.37,317.35,264.47
54.29,54.29,40.67,300.0,269.0
54.28,53.75,40.08,287.01,257.0
51.37,52.4,38.58,290.6,259.5
51.45,52.88,39.05,284.79,259.12
49.86,51.86,38.36,285.92,259.84
50.88,53.31,39.05,283.33,269.55
51.41,52.36,38.98,272.94,273.09
51.75,53.03,39.1,271.2,278.2
52.26,53.09,39.44,257.01,267.2
52.74,53.0,39.85,255.75,263.5
52.1,50.93,39.81,253.0,270.3
48.36,50.45,38.75,249.51,260.0
49.19,51.56,39.3,236.0,251.28
49.26,50.42,38.11,246.86,253.98
49.0,49.09,38.44,252.5,256.72
48.08,48.77,37.91,251.77,247.0
48.22,48.84,38.11,249.92,234.6
47.78,49.41,37.79,247.2,238.12
48.68,51.25,38.26,255.12,249.5
49.51,50.7,38.21,251.0,241.36
49.47,51.4,38.99,261.15,234.97
49.86,52.1,40.21,269.23,246.85
51.12,53.92,40.8,261.36,251.25
51.71,54.12,41.24,265.61,255.0
51.62,52.1,41.46,271.71,245.07
51.95,52.41,41.53,269.59,249.33
52.34,52.81,41.75,275.95,249.56
51.58,51.2,41.39,277.6,243.0
51.71,52.0,40.59,254.11,236.4
51.55,51.6,40.47,267.0,228.05
51.49,50.79,41.66,266.3,236.29
49.9,48.96,41.1,277.0,228.29
50.71,48.45,41.0,281.97,239.5
52.0,50.35,42.83,288.15,240.23
50.3,49.6,43.14,282.5,245.14
51.58,51.43,44.41,296.2,246.94
51.8,52.2,44.47,298.25,240.1
52.7,51.89,44.99,289.8,232.1
53.01,51.03,46.1,285.09,228.27
53.71,51.58,47.22,293.72,236.09
56.04,53.14,47.64,283.66,235.72
54.21,49.62,47.12,280.31,244.98
54.93,50.87,47.99,285.4,262.84
54.31,51.18,46.52,300.02,257.65
54.74,50.68,46.77,308.98,253.08
55.8,50.9,48.05,294.99,259.0
55.73,50.21,48.5,292.0,267.35
55.12,49.06,48.47,293.55,260.4
53.67,47.59,47.74,303.48,252.0
54.2,46.75,48.12,299.46,255.0
53.6,47.0,48.51,308.09,255.0
54.24,47.59,49.21,280.08,253.87
54.01,47.71,48.25,291.18,239.35
53.67,46.5,47.5,264.71,241.0
53.25,47.95,47.56,257.2,258.01
53.11,47.47,47.5,236.5,250.84
52.67,46.17,46.76,238.71,254.0
54.5,47.7,47.63,248.55,262.98
57.64,50.05,49.02,258.68,277.68
58.54,50.25,49.95,248.96,281.96
58.08,49.7,49.95,241.23,284.69
58.46,49.91,51.2,227.5,293.45
59.35,50.83,51.48,223.97,290.22
59.7,51.0,49.99,222.92,275.0
59.98,51.05,49.5,236.4,284.93
57.91,48.95,49.6,245.29,282.3
59.7,49.97,49.4,265.1,288.79
59.4,50.4,48.92,266.48,285.7
60.09,49.9,49.3,248.82,265.16
60.78,50.35,49.2,251.96,269.39
62.37,53.43,50.19,255.09,275.0
62.9,53.54,50.11,250.5,281.5
61.91,52.94,49.89,249.55,279.89
62.3,53.05,50.99,239.04,281.09
64.76,56.0,51.86,236.6,300.0
64.28,54.19,52.1,251.0,300.1
64.38,53.8,51.17,253.3,301.75
65.6,54.7,52.66,253.63,307.83
66.68,56.4,52.23,244.99,296.7
65.96,55.0,51.45,244.89,294.18
65.82,54.82,51.72,243.3,296.9
64.73,55.46,49.82,237.88,286.49
64.16,53.69,51.11,242.58,281.98
65.1,54.69,53.68,245.0,287.48
66.25,55.12,54.7,232.1,286.0
67.0,55.6,55.18,211.0,289.7
67.07,54.8,55.37,232.32,297.68
69.4,56.33,54.62,227.02,311.0
70.01,56.35,55.01,214.11,313.46
70.3,56.47,55.23,202.0,312.8
70.41,56.7,55.23,202.81,317.38
70.28,57.0,55.36,190.35,317.0
70.85,57.53,55.98,189.4,319.56
70.68,56.28,55.98,183.9,325.84
70.87,57.58,56.05,186.5,325.3
71.13,57.36,56.3,189.46,334.12
71.8,58.19,56.3,178.7,334.5
72.97,58.5,56.99,181.68,344.29
72.9,57.95,58.04,177.45,344.54
72.38,58.5,56.19,176.17,339.99
72.46,57.55,55.89,176.52,339.28
69.94,54.08,56.8,173.47,320.29
70.05,54.11,57.5,173.2,318.0
70.72,55.47,58.0,172.94,325.01
69.97,54.8,57.41,172.78,326.52
70.9,55.95,57.93,158.7,318.05
70.37,55.65,58.29,159.78,319.39
71.18,54.98,57.74,153.53,309.58
69.14,53.2,57.38,148.99,295.0
69.93,53.69,59.08,153.73,303.0
70.28,53.84,59.9,146.56,299.0
70.03,53.9,59.84,147.0,298.89
70.1,54.18,59.56,143.95,288.0
70.53,53.67,59.96,150.0,295.7
72.5,52.7,59.91,158.57,311.99
73.82,53.28,59.51,162.95,310.32
72.81,51.76,58.06,165.5,310.0
73.27,52.07,57.98,164.94,306.98
72.89,52.07,58.5,167.5,298.44
74.26,53.3,59.81,169.25,299.29
74.37,52.61,59.11,168.71,296.0
75.62,52.89,59.62,168.59,298.66
76.0,51.99,59.98,171.24,292.99
76.18,51.77,60.88,176.05,294.5
75.7,49.74,60.88,165.3,285.85
75.81,49.44,60.53,165.5,283.06
77.15,49.7,59.92,170.95,288.2
76.56,50.32,59.17,164.01,265.85
77.16,50.46,60.2,163.46,295.39
77.16,50.25,61.65,166.72,301.6
78.63,50.5,61.85,170.48,312.28
78.45,50.43,61.68,170.99,311.9
79.03,50.99,61.33,176.09,317.2
78.88,50.95,62.44,175.87,333.5
79.2,51.05,62.73,169.07,321.95
78.7,51.1,62.7,164.51,306.08
79.37,51.56,62.1,169.0,317.88
79.13,50.94,62.47,168.1,315.85
80.01,51.6,61.62,170.99,313.43
79.2,51.01,61.38,161.2,299.0
79.01,52.2,61.35,162.74,295.04
80.05,53.48,61.41,168.97,300.02
79.82,53.78,60.94,173.8,311.65
79.64,51.76,60.0,171.15,306.56
81.42,54.24,62.5,178.55,312.7
82.54,53.4,62.2,176.88,308.07
85.4,54.32,60.0,176.47,296.57
85.11,53.11,57.78,174.26,297.8
85.55,53.32,58.5,181.68,309.41
86.36,51.97,58.59,182.97,301.78
83.28,49.25,58.62,177.19,299.62
84.05,48.5,58.0,170.68,282.29
84.95,49.93,56.62,176.73,278.99
84.5,51.4,58.13,196.37,305.88
86.3,52.4,58.85,198.5,309.63
86.75,52.77,60.2,209.75,324.5
83.23,49.55,60.66,211.4,316.1
84.84,50.39,60.43,210.9,324.56
85.18,51.1,59.0,197.27,307.91
87.14,54.45,59.85,209.25,319.1
83.78,53.6,57.28,208.99,314.63
84.32,55.55,57.05,225.0,332.78
83.0,54.2,58.48,239.52,339.0
84.2,55.2,61.03,257.35,371.9
82.38,55.69,60.47,258.99,379.9
79.25,54.55,60.49,266.95,387.86
78.13,55.26,59.03,257.0,359.73
78.57,55.26,58.84,250.2,357.99
79.72,54.74,58.94,249.0,346.95
79.62,53.5,58.59,259.9,328.94
76.54,53.05,58.82,263.0,340.98
78.18,51.97,59.63,267.5,331.01
79.27,52.4,56.43,246.89,306.0
79.08,51.1,56.3,247.0,294.0
80.92,51.61,57.29,244.36,287.0
83.04,52.0,59.41,257.0,297.0
83.0,51.4,59.0,254.22,297.98
84.88,52.11,60.02,260.0,308.0
83.8,51.64,60.23,242.92,283.0
84.44,52.64,61.36,235.52,272.0
85.2,51.72,61.0,222.0,272.94
86.8,51.85,62.92,216.2,268.15
87.2,51.92,63.76,221.69,274.2
86.9,51.14,63.4,225.2,280.01
85.27,49.05,63.12,223.95,280.55
87.54,49.4,64.92,239.3,299.99
87.82,49.7,63.66,236.99,319.1
84.03,48.42,62.45,234.86,298.4
86.1,46.6,64.7,227.51,291.0
86.26,45.9,64.7,225.04,311.0
85.74,44.15,64.07,216.3,288.0
84.27,42.18,65.26,219.9,293.02
85.18,43.17,62.9,206.76,292.25
86.98,43.95,61.94,194.3,282.45
85.88,43.05,61.27,186.0,263.12
85.5,42.83,60.87,178.6,255.15
84.62,43.04,60.6,187.93,257.6
83.2,42.72,59.21,185.22,259.0
84.2,42.57,60.06,183.0,252.2
84.85,42.32,60.15,186.79,246.88
84.15,41.91,60.11,184.0,236.95
87.05,42.89,60.7,193.6,229.13
87.79,43.1,61.37,176.0,217.25
